disease,workout_1,workout_2,workout_3,workout_4,workout_5
Preeclampsia,Follow prescribed treatments,Practice good prenatal care,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Ques fever,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Pulmonary embolism,Follow prescribed treatments,Engage in regular physical activity as tolerated,Practice stress management,Stay hydrated,Monitor for symptoms
Bad Breath (Halitosis),Follow prescribed treatments,Practice good oral hygiene,Stay hydrated,Monitor for symptoms,Consult a dentist
Atrophy,Follow prescribed treatments,Engage in regular physical activity,Practice stress management,Stay hydrated,Monitor for symptoms
Preterm birth,Follow prescribed treatments,Practice good prenatal care,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Hand,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Diarrhea,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Acquired Immuno Deficiency Syndrome,Follow prescribed treatments,Practice safe sex,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Anisometropia,Follow prescribed treatments,Use corrective lenses as directed,Stay hydrated,Monitor for symptoms,Practice good eye hygiene
Taeniasis,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Poliomyelitis,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Acquired Capillary Haemangioma of Eyelid,Follow prescribed treatments,Practice good eye hygiene,Stay hydrated,Monitor for symptoms,Consult an eye care professional
Rocky Mountain spotted fever,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Varicose Veins,Follow prescribed treatments,Engage in regular physical activity,Practice stress management,Stay hydrated,Monitor for symptoms
Orbital Dermoid,Follow prescribed treatments,Practice good eye hygiene,Stay hydrated,Monitor for symptoms,Consult an eye care professional
Alopecia (hair loss),Follow prescribed treatments,Practice good scalp hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Hypotonia,Follow prescribed treatments,Engage in physical therapy,Practice stress management,Stay hydrated,Monitor for symptoms
Shingles,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Sciatica,Follow prescribed treatments,Engage in physical therapy,Practice stress management,Stay hydrated,Monitor for symptoms
Leprosy,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Condyloma,Follow prescribed treatments,Practice safe sex,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Burns,Follow prescribed treatments,Practice good wound care,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Pinguecula,Follow prescribed treatments,Use lubricating eye drops as directed,Stay hydrated,Monitor for symptoms,Consult an eye care professional
Fibromyalgia,Follow prescribed treatments,Engage in regular physical activity,Practice stress management,Stay hydrated,Monitor for symptoms
Sarcoidosis,Follow prescribed treatments,Engage in regular physical activity,Practice stress management,Stay hydrated,Monitor for symptoms
Vitiligo,Follow prescribed treatments,Use sun protection as directed,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Lung cancer,Follow prescribed treatments,Engage in regular physical activity,Practice stress management,Stay hydrated,Monitor for symptoms
Chalazion,Follow prescribed treatments,Practice good eye hygiene,Stay hydrated,Monitor for symptoms,Consult an eye care professional
Corneal Abrasion,Follow prescribed treatments,Use eye protection as directed,Stay hydrated,Monitor for symptoms,Consult an eye care professional
Hypermetropia,Follow prescribed treatments,Use corrective lenses as directed,Stay hydrated,Monitor for symptoms,Practice good eye hygiene
Obesity,Follow prescribed treatments,Engage in regular physical activity,Practice stress management,Stay hydrated,Monitor for symptoms
Campylobacter infection,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Early pregnancy loss,Follow prescribed treatments,Practice good prenatal care,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Coronary Heart Disease,Follow prescribed treatments,Engage in regular physical activity,Practice stress management,Stay hydrated,Monitor for symptoms
Cough,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Amblyopia,Follow prescribed treatments,Use corrective lenses as directed,Stay hydrated,Monitor for symptoms,Practice good eye hygiene
Aniseikonia,Follow prescribed treatments,Use corrective lenses as directed,Stay hydrated,Monitor for symptoms,Practice good eye hygiene
Taeniasis/cysticercosis,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Tennis elbow,Follow prescribed treatments,Engage in physical therapy,Practice stress management,Stay hydrated,Monitor for symptoms
Amoebiasis,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Childhood Exotropia,Follow prescribed treatments,Practice good eye hygiene,Stay hydrated,Monitor for symptoms,Consult an eye care professional
Chronic obstructive pulmonary disease (COPD),Follow prescribed treatments,Engage in pulmonary rehabilitation,Practice stress management,Stay hydrated,Monitor for symptoms
Kaposi’s Sarcoma,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Eclampsia,Follow prescribed treatments,Practice good prenatal care,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Guillain-Barré syndrome,Follow prescribed treatments,Engage in physical therapy,Practice stress management,Stay hydrated,Monitor for symptoms
Brucellosis,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Amaurosis Fugax,Follow prescribed treatments,Practice good eye hygiene,Stay hydrated,Monitor for symptoms,Consult an eye care professional
Cleft Lip and Cleft Palate,Follow prescribed treatments,Practice good oral hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Sarcoma,Follow prescribed treatments,Engage in physical therapy,Practice stress management,Stay hydrated,Monitor for symptoms
Lice,Follow prescribed treatments,Practice good hygiene,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Tinnitus,Follow prescribed treatments,Practice stress management,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Fibroids,Follow prescribed treatments,Engage in stress management,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Myelitis,Follow prescribed treatments,Engage in physical therapy,Practice stress management,Stay hydrated,Monitor for symptoms
Nausea and Vomiting of Pregnancy and Hyperemesis gravidarum,Follow prescribed treatments,Practice good prenatal care,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
Osteoporosis,Follow prescribed treatments,Engage in weight-bearing exercises,Practice stress management,Stay hydrated,Monitor for symptoms
Haemophilia,Follow prescribed treatments,Practice good wound care,Stay hydrated,Monitor for symptoms,Consult a healthcare professional
